item_id,item_name,sku,quantity,unit_price,location,created_at
1,Laptop Dell XPS 15,DL-XPS15-2023,12,1800.00,Warehouse A,"2023-01-15"
2,Wireless Mouse Logitech,LOG-M500,45,25.50,Warehouse B,"2023-02-10"
3,Monitor 27" 4K,MON-4K27,8,350.00,Warehouse A,"2023-03-05"
4,Keyboard Mechanical,KB-MECH-BLK,30,85.00,Warehouse C,"2023-01-20"
5,Webcam HD Pro,WC-HD1080,20,65.00,Warehouse B,"2023-04-12"
6,Desk Chair Ergonomic,CHAIR-ERGO,5,220.00,Warehouse D,"2023-02-28"
7,Whiteboard 48x36,WB-4836,10,120.00,Warehouse A,"2023-05-10"
8,Projector Epson,PROJ-EPSON,3,450.00,Warehouse C,"2023-03-22"
9,Headset Wireless,HS-WL-BT,25,95.00,Warehouse B,"2023-06-01"
10,Printer Laser,PRNT-LASER,7,300.00,Warehouse D,"2023-04-18"
11,Server Rack 12U,RACK-12U,2,800.00,Warehouse A,"2023-07-05"
12,Network Switch 24-port,SW-24G,15,180.00,Warehouse C,"2023-05-20"
13,USB-C Hub,USB-HUB-7IN1,40,45.00,Warehouse B,"2023-08-10"
14,External SSD 1TB,SSD-1TB-EXT,22,120.00,Warehouse A,"2023-06-25"
15,Phone Stand Adjustable,STAND-PH-ADJ,50,15.00,Warehouse D,"2023-09-01"
16,Desk Lamp LED,DL-LED-ADJ,18,35.00,Warehouse B,"2023-07-15"
17,Cable HDMI 6ft,HDMI-6FT,60,12.50,Warehouse C,"2023-10-05"
18,Power Strip Surge,PS-SURGE-6,28,28.00,Warehouse A,"2023-08-20"
19,Webcam Cover Slider,WC-COVER,100,2.00,Warehouse D,"2023-11-10"
20,Mouse Pad XL,MP-XL-GAMER,35,20.00,Warehouse B,"2023-09-18"
21,Laptop Sleeve 15",SLV-15-BLK,42,22.00,Warehouse C,"2023-12-01"
22,Monitor Stand Dual,MS-DUAL,9,65.00,Warehouse A,"2024-01-10"
23,Keyboard Wrist Rest,KR-WR-BLK,30,18.00,Warehouse D,"2024-02-05"
24,USB Flash Drive 64GB,USB-64GB,55,16.00,Warehouse B,"2024-03-12"
25,Headset Stand,HS-STAND,15,25.00,Warehouse C,"2024-01-25"
26,Desk Organizer Wood,DO-WOOD,12,40.00,Warehouse A,"2024-02-20"
27,Cable Management Box,CMB-BOX,20,30.00,Warehouse D,"2024-03-30"
28,Wireless Charger Pad,WC-PAD-QI,38,35.00,Warehouse B,"2024-04-15"
29,Bluetooth Speaker,SPK-BT-MINI,24,55.00,Warehouse C,"2024-05-01"
30,Phone Charger Fast,CHG-FAST-USB,48,20.00,Warehouse A,"2024-04-10"
31,Laptop Cooling Pad,CP-LAPTOP,14,45.00,Warehouse D,"2024-05-20"
32,Webcam Ring Light,RL-WC-10,8,50.00,Warehouse B,"2024-06-05"
33,Monitor Privacy Filter,PF-27,10,75.00,Warehouse C,"2024-06-18"
34,Keyboard Cover Silicone,KC-SIL-104,25,12.00,Warehouse A,"2024-07-01"
35,Mouse Bungee Cord,MB-CORD,18,22.00,Warehouse D,"2024-07-15"
36,Desk Mat Large,DM-LARGE,22,38.00,Warehouse B,"2024-08-01"
37,Cable Clips Set,CC-SET-10,60,8.00,Warehouse C,"2024-08-12"
38,USB Microphone,USB-MIC-PRO,7,120.00,Warehouse A,"2024-09-01"
39,Green Screen Backdrop,GS-5X7,5,85.00,Warehouse D,"2024-09-15"
40,Webcam Tripod,WT-TRIPOD,16,28.00,Warehouse B,"2024-10-01"
41,Laptop Privacy Screen,PS-15,11,60.00,Warehouse C,"2024-10-05"
42,Headset with Mic,HS-MIC-GAMER,19,80.00,Warehouse A,"2024-10-10"
43,Monitor Calibration Tool,MC-TOOL,3,250.00,Warehouse D,"2024-10-12"
44,Wireless Keyboard Slim,WK-SLIM,27,65.00,Warehouse B,"2024-10-14"
45,Desk Cable Tray,DCT-UNDER,13,32.00,Warehouse C,"2024-10-15"
46,Phone Holder Car,PH-CAR-VNT,33,18.00,Warehouse A,"2024-10-16"
47,USB Hub 4-Port,USB-HUB-4P,41,25.00,Warehouse D,"2024-10-17"
48,Webcam Background Cloth,WB-CLOTH,9,40.00,Warehouse B,"2024-10-18"
49,Monitor Arm Single,MA-SINGLE,6,95.00,Warehouse C,"2024-10-19"
50,Laptop Docking Station,DS-USB3-PRO,17,140.00,Warehouse A,"2024-10-20"