campaign_id,title,channel,budget,start_date,end_date,status,notes
1,Spring Sale,Email,15000,"2023-03-01","2023-04-15",Completed,"Generated 200 leads"
2,App Launch,Social Media,25000,"2023-05-10","2023-07-10",Completed,"50k downloads"
3,CRM Webinar,Webinar,5000,"2023-07-20","2023-07-20",Completed,"300 attendees"
4,Rebrand Reveal,PR,20000,"2023-02-15","2023-03-15",Completed,"Featured in TechMag"
5,AWS Migration Promo,Search Ads,18000,"2023-08-15","2023-10-15",Completed,"High ROI"
6,Dash Launch,LinkedIn,12000,"2023-09-20","2023-11-20",Completed,"Targeted execs"
7,SAP ERP Awareness,Trade Show,30000,"2023-11-10","2023-11-12",Completed,"Booth at TechExpo"
8,SEO Boost,Blog,8000,"2023-01-15","2023-06-15",Completed,"+40% organic traffic"
9,Product Launch Event,Event,40000,"2023-10-10","2023-10-10",Completed,"200 guests"
10,Social Strategy,Social Media,10000,"2024-01-20","2024-07-20",In Progress,"Monthly content"
11,Security Whitepaper,Content,7000,"2023-12-05","2024-01-05",Completed,"Gated download"
12,E-com Grand Opening,Influencer,35000,"2024-02-15","2024-04-15",In Progress,"10 influencers"
13,Training Promo,Email,6000,"2023-06-20","2023-08-20",Completed,"25 sign-ups"
14,Logistics Webinar,Webinar,9000,"2024-03-10","2024-03-10",In Progress,"Live session"
15,Video Series Launch,YouTube,15000,"2023-04-10","2023-06-10",Completed,"10 videos published"
16,Game Teaser,Social Media,20000,"2024-04-10","2024-06-10",Planned,"Pre-launch hype"
17,Solar Study Report,Content,10000,"2023-10-20","2023-12-20",Completed,"Industry report"
18,UX Study Recruitment,Social Media,5000,"2024-05-05","2024-05-20",In Progress,"Seeking participants"
19,AgriTech Demo,Event,25000,"2023-09-01","2023-09-01",Completed,"Farm demo day"
20,Compliance Guide,Email,4000,"2024-01-10","2024-02-10",In Progress,"For legal clients"
21,MedApp Launch,PR,30000,"2023-12-01","2024-01-31",Completed,"FDA announcement"
22,Pet App Ads,Search Ads,12000,"2024-02-20","2024-05-20",In Progress,"Google Ads"
23,Edu Platform Launch,Webinar,18000,"2023-07-15","2023-08-15",Completed,"School district focus"
24,Beauty Launch,Influencer,28000,"2023-09-15","2023-11-15",Completed,"5 beauty bloggers"
25,Retail System Promo,Trade Show,22000,"2024-03-20","2024-03-22",In Progress,"RetailTech Expo"
26,Event Platform Launch,LinkedIn,14000,"2023-12-20","2024-02-20",Completed,"B2B focus"
27,Security Upgrade Offer,Email,8000,"2024-04-20","2024-06-20",In Progress,"Existing clients"
28,Fitness App Launch,Social Media,16000,"2023-10-15","2023-12-15",Completed,"App Store feature"
29,Photo Portal Launch,Email,7000,"2024-01-15","2024-03-15",In Progress,"Photographer list"
30,Publishing Platform,Content,20000,"2023-05-20","2023-08-20",Completed,"Author outreach"
31,Toy Safety Campaign,PR,15000,"2024-02-10","2024-04-10",In Progress,"Parent magazines"
32,Solar Monitoring Ads,Search Ads,13000,"2023-11-10","2024-01-10",Completed,"High intent keywords"
33,Logistics API Launch,Webinar,11000,"2024-03-15","2024-03-15",In Progress,"Developer audience"
34,Payment Integration,Email,9000,"2023-08-20","2023-10-20",Completed,"E-com clients"
35,Music Stream Beta,Social Media,40000,"2024-05-10","2024-08-10",Planned,"Beta tester drive"
36,Smart Home Launch,Event,35000,"2023-09-20","2023-09-20",Completed,"Tech demo day"
37,Drone Software Promo,Trade Show,27000,"2024-01-20","2024-01-22",In Progress,"AgriTech Conf"
38,Spa Booking Launch,Local Ads,6000,"2023-07-10","2023-08-10",Completed,"Geo-targeted"
39,Car Catalog Launch,PR,18000,"2024-02-20","2024-04-20",In Progress,"Classic car mags"
40,Brewery POS Launch,Event,5000,"2023-10-10","2023-10-10",Completed,"Taproom demo"
41,Edu Game Beta,Influencer,22000,"2024-04-15","2024-07-15",Planned,"Teacher reviewers"
42,Solar Dashboard,Content,16000,"2023-12-10","2024-02-10",Completed,"Utility clients"
43,Robotics Launch,Trade Show,32000,"2024-03-20","2024-03-22",In Progress,"Robotics Expo"
44,Language App Launch,Social Media,19000,"2023-11-20","2024-01-20",Completed,"App Store top 10"
45,Drone Delivery Study,PR,25000,"2024-05-20","2024-07-20",Planned,"City partnership"
46,Wellness Program,Email,10000,"2023-08-05","2023-09-05",Completed,"Corporate HR lists"
47,Car Marketplace Launch,Search Ads,20000,"2024-01-15","2024-04-15",In Progress,"High-value keywords"
48,Brewery Supply,Content,7000,"2023-09-10","2023-11-10",Completed,"Brewer newsletters"
49,Game Learning Launch,Webinar,15000,"2024-02-10","2024-03-10",In Progress,"School admins"
50,Renewable Dashboard,LinkedIn,12000,"2023-10-20","2023-12-20",Completed,"Energy sector focus"