transaction_id,project_id,client_id,type,amount,txn_date,description
1,1,1,Invoice,75000,"2023-06-30","Final payment for website"
2,2,2,Invoice,120000,"2023-10-15","App development complete"
3,3,3,Invoice,50000,"2023-09-30","CRM integration"
4,4,4,Invoice,30000,"2023-04-15","Brand package"
5,5,5,Invoice,200000,"2024-01-31","Cloud migration"
6,6,6,Invoice,85000,"2024-02-28","Dashboard delivery"
7,7,7,Deposit,90000,"2023-11-01","ERP implementation deposit"
8,8,8,Invoice,25000,"2023-06-30","SEO campaign"
9,9,9,Invoice,60000,"2023-12-15","Launch support"
10,10,10,Retainer,20000,"2024-01-15","Social media retainer"
11,11,11,Invoice,70000,"2024-03-31","Security audit"
12,12,12,Deposit,45000,"2024-02-01","E-com platform deposit"
13,13,13,Invoice,35000,"2023-09-01","Training program"
14,14,14,Invoice,90000,"2024-09-30","Logistics optimization"
15,15,15,Invoice,45000,"2023-07-15","Video production"
16,16,16,Estimate,0,"2024-04-01","Game dev estimate"
17,17,17,Invoice,55000,"2024-01-15","Energy study"
18,18,18,Invoice,30000,"2024-07-31","UX research"
19,19,19,Invoice,110000,"2024-02-28","AgriTech pilot"
20,20,20,Invoice,65000,"2024-06-30","Compliance portal"
21,21,21,Invoice,180000,"2024-08-31","Medical software"
22,22,22,Invoice,75000,"2024-09-30","Pet app"
23,23,23,Invoice,130000,"2024-01-31","Learning platform"
24,24,24,Invoice,95000,"2023-12-01","Beauty launch"
25,25,25,Deposit,42000,"2024-03-15","Retail system deposit"
26,26,26,Invoice,80000,"2024-05-15","Event platform"
27,27,27,Invoice,60000,"2024-08-15","Security upgrade"
28,28,28,Invoice,90000,"2024-03-01","Fitness app"
29,29,29,Invoice,40000,"2024-06-10","Photo portal"
30,30,30,Invoice,100000,"2023-11-30","Publishing platform"
31,31,31,Invoice,50000,"2024-07-01","Toy compliance"
32,32,32,Invoice,70000,"2024-04-30","Solar monitoring"
33,33,33,Invoice,110000,"2024-09-01","Logistics API"
34,34,34,Invoice,55000,"2024-01-15","Payment gateway"
35,35,35,Estimate,0,"2024-05-01","Streaming backend estimate"
36,36,36,Invoice,120000,"2024-03-31","Smart home prototype"
37,37,37,Invoice,130000,"2024-08-31","Drone software"
38,38,38,Invoice,45000,"2023-12-01","Spa system"
39,39,39,Invoice,60000,"2024-08-15","Car catalog"
40,40,40,Invoice,35000,"2024-02-28","Brewery POS"
41,41,41,Estimate,0,"2024-04-01","Edu game estimate"
42,42,42,Invoice,180000,"2024-06-30","Solar farm dashboard"
43,43,43,Invoice,220000,"2024-11-30","Robotics software"
44,44,44,Invoice,95000,"2024-05-31","Language app"
45,45,45,Estimate,0,"2024-05-15","Drone simulation estimate"
46,46,46,Invoice,70000,"2024-01-31","Wellness platform"
47,47,47,Invoice,85000,"2024-07-31","Car marketplace"
48,48,48,Invoice,50000,"2024-02-28","Brewery supply chain"
49,49,49,Invoice,110000,"2024-09-30","Game-based learning"
50,50,50,Invoice,75000,"2024-04-30","Renewable dashboard"